New York,New York,NY,,
Los Angeles,California,CA,,
Chicago,Illinois,IL,,
Houston,Texas,TX,,
Philadelphia,Pennsylvania,PA,,
Phoenix,Arizona,AZ,,
San Antonio,Texas,TX,,
San Diego,California,CA,,
Dallas,Texas,TX,,
San Jose,California,CA,,
Austin,Texas,TX,,
Jacksonville,Florida,FL,,
San Francisco,California,CA,,
Indianapolis,Indiana,IN,,
Columbus,Ohio,OH,,
Fort Worth,Texas,TX,,
Charlotte,North Carolina,NC,,
Detroit,Michigan,MI,,
El Paso,Texas,TX,,
Seattle,Washington,WA,,
Denver,Colorado,CO,,
Washington,District of Columbia,DC,,
Memphis,Tennessee,TN,,
Boston,Massachusetts,MA,,
Nashville,Tennessee,TN,,
Baltimore,Maryland,MD,,
Oklahoma City,Oklahoma,OK,,
Portland,Oregon,OR,,
Las Vegas,Nevada,NV,,
Louisville,Kentucky,KY,,
Milwaukee,Wisconsin,WI,,
Albuquerque,New Mexico,NM,,
Tucson,Arizona,AZ,,
Fresno,California,CA,,
Sacramento,California,CA,,
Long Beach,California,CA,,
Kansas City,Missouri,AZ,,
Mesa,Arizona,AZ,,
Atlanta,Georgia,GA,,
Virginia Beach,Virginia,VA,,
Omaha,Nebraska,NE,,
Colorado Springs,Colorado,CO,,
Raleigh,North Carolina,NC,,
Miami,Florida,FL,,
Oakland,California,CA,,
Minneapolis,Minnesota,MN,,
Tulsa,Oklahoma,OK,,
Cleveland,Ohio,OH,,
Wichita,Kansas,KS,,
New Orleans,Louisiana,LA,,
Arlington,Texas,TX,,
Bakersfield,California,CA,,
Tampa,Florida,FL,,
Aurora,Colorado,CO,,
Honolulu,Hawai'i,HI,,
Anaheim,California,CA,,
Santa Ana,California,CA,,
Corpus Christi,Texas,TX,,
Riverside,California,CA,,
St. Louis,Missouri,MO,,
Lexington,Kentucky,KY,,
Pittsburgh,Pennsylvania,PA,,
Stockton,California,CA,,
Anchorage,Alaska,AK,,
Cincinnati,Ohio,OH,,
Saint Paul,Minnesota,MN,,
Greensboro,North Carolina,NC,,
Toledo,Ohio,OH,,
Newark,New Jersey,NJ,,
Plano,Texas,TX,,
Henderson,Nevada,NV,,
Lincoln,Nebraska,NE,,
Orlando,Florida,FL,,
Jersey City,New Jersey,NJ,,
Chula Vista,California,CA,,
Buffalo,New York,NY,,
Fort Wayne,Indiana,IN,,
Chandler,Arizona,AZ,,
St. Petersburg,Florida,FL,,
Laredo,Texas,TX,,
Durham,North Carolina,NC,,
Irvine,California,CA,,
Madison,Wisconsin,WI,,
Norfolk,Virginia,VA,,
Lubbock,Texas,TX,,
Gilbert,Arizona,AZ,,
Winston–Salem,North Carolina,NC,,
Glendale,Arizona,AZ,,
Reno,Nevada,NV,,
Hialeah,Florida,FL,,
Garland,Texas,TX,,
Chesapeake,Virginia,VA,,
Irving,Texas,TX,,
North Las Vegas,Nevada,NV,,
Scottsdale,Arizona,AZ,,
Baton Rouge,Louisiana,LA,,
Fremont,California,CA,,
Richmond,Virginia,VA,,
Boise,Idaho,ID,,
San Bernardino,California,CA,,
